name,datetime,tempmax,tempmax2,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,month,X
rexburg,2023-03-24,33.2,26.1,25.1,29,27.3,12.3,19.5,24.4,83,0.02,100,4.17,2.4,1.9,35.6,20.8,207.3,1012.4,99.1,8.4,240.4,15.5,8,0,2023-03-24T07:23:12Z,2023-03-24T19:44:22Z,0.1,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,snow,3,31.862224999999963
rexburg,2023-03-25,27,29,20,23.3,20,8.1,13.6,17.1,77.9,0.101,100,29.17,0.5,3.1,21.9,17.3,231.7,1014.8,100,6.1,186.5,14.9,6,0,2023-03-25T07:21:24Z,2023-03-25T19:45:35Z,0.13,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,snow,3,31.634045999999866
rexburg,2023-03-26,26.1,38,20.9,23,25.1,8.5,13.7,17.2,78.2,0.024,100,8.33,0,1.4,25.3,17.9,200.5,1016.5,99.5,6.4,234,17.7,8,0,2023-03-26T07:19:35Z,2023-03-26T19:46:47Z,0.16,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,3,39.04079899999984
rexburg,2023-03-27,29,47,12.8,22.6,24.2,7,17.7,15.8,75.2,0.03,100,8.33,0,0.7,0,10.3,217.9,1026.2,72.9,8.4,220.3,19,8,0,2023-03-27T07:17:46Z,2023-03-27T19:48:00Z,0.19,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,3,46.21087499999987
rexburg,2023-03-28,38,35.1,15.1,25.6,32.4,7.6,19.8,15.1,65,0,0,0,0,0.7,20.8,11.4,20.8,1021.3,42.8,9.9,257.5,20.3,8,0,2023-03-28T07:15:57Z,2023-03-28T19:49:12Z,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,3,45.530679999999855
rexburg,2023-03-29,47,37.1,26,36,47,19.5,32.6,22.3,59,0.024,100,8.33,0.1,0.7,30,6.9,30.7,1008,84.8,9.9,209.7,17.3,8,0,2023-03-29T07:14:09Z,2023-03-29T19:50:25Z,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,3,48.927778999999944
rexburg,2023-03-30,35.1,38.9,30.8,32.9,35,22.7,25.9,28.4,83.7,0.212,100,33.33,0,0.7,20.8,13.9,205.6,1003.8,100,6.5,172.2,14.2,7,0,2023-03-30T07:12:21Z,2023-03-30T19:51:37Z,0.29,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,3,41.508466999999776
rexburg,2023-03-31,37.1,35.1,24.2,31.4,28.2,17.2,23.6,27.1,84.9,0.016,100,4.17,0,0.7,30,18.4,215,1013.4,73.6,8.1,246.8,19.7,8,0,2023-03-31T07:10:33Z,2023-03-31T19:52:50Z,0.32,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,3,40.47688099999994
rexburg,2023-04-01,38.9,35.1,32,35.4,30.3,21.6,26.3,27.7,73.7,0,0,0,0.1,0.7,37.5,21.9,205.1,1013.5,98.2,9.7,62.2,3.4,2,0,2023-04-01T07:08:45Z,2023-04-01T19:54:02Z,0.36,Overcast,Cloudy skies throughout the day.,snow,4,40.97665999999999
rexburg,2023-04-02,35.1,37.1,29,31.2,29.9,17,22.3,23.4,73.3,0,0,0,0,0.7,34.4,20.8,229.4,1011.2,76.9,9.9,196.3,17,9,0,2023-04-02T07:06:57Z,2023-04-02T19:55:14Z,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,4,39.40758999999979
